نوع البطولة,الفريق الأول,الفريق الثاني,ميعاد المباراة,النتيجة
الدوري الإنجليزي,كريستال بالاس,ليفربول,21:45,0-0
الدوري الإنجليزي,بورنموث,مانشستر سيتي,19:30,1-4
الدوري الإنجليزي,وست هام يونايتد,نوتينجهام فورست,17:00,4-0
الدوري الإنجليزي,إيفرتون,أستون فيلا,17:00,0-2
الدوري الإنجليزي,ليدز يونايتد,ساوثامبتون,17:00,1-0
الدوري الإنجليزي,ليستر سيتي,أرسنال,17:00,0-1
الدوري الإسباني,فالنسيا,ريال سوسيداد,22:00,1-0
الدوري الإسباني,ريال مدريد,أتليتكو مدريد,19:30,1-1
الدوري الإسباني,قادش,رايو فايكانو,17:15,1-0
الدوري الإسباني,إسبانيول,ريال مايوركا,15:00,2-1
الدوري الإيطالي,ليتشي,ساسولو,21:45,0-1
الدوري الإيطالي,إمبولي,نابولي,19:00,0-2
كأس الأمم الإفريقية | تحت 20,مصر | تحت 20,السنغال | تحت 20,19:00,0-4
كأس الأمم الإفريقية | تحت 20,موزمبيق | تحت 20,نيجيريا | تحت 20,19:00,0-2
دوري أبطال إفريقيا,الأهلي,ماميلودي صنداونز,21:00,2-2
دوري أبطال إفريقيا,الرجاء البيضاوي,هوريا,21:00,2-0
دوري أبطال إفريقيا,الترجي,الزمالك,18:00,2-0
دوري أبطال إفريقيا,فيبرس,سيمبا,18:00,0-1
دوري أبطال إفريقيا,فيتا كلوب,شبيبة القبائل,15:00,1-0
الدوري السعودي للمحترفين,ضمك,النصر,17:30,0-3
الدوري السعودي للمحترفين,الباطن,الاتفاق,15:00,1-0
الدوري الألماني,شالكه,شتوتجارت,19:30,2-1
الدوري الألماني,كولن,فولفسبورج,16:30,0-2
الدوري الألماني,هيرتا برلين,أوجسبورج,16:30,2-0
الدوري الألماني,هوفنهايم,بوروسيا دورتموند,16:30,0-0
الدوري الألماني,لايبزج,آينتراخت فرانكفورت,16:30,2-1
الدوري الألماني,فيردر بريمن,بوخوم,16:30,3-0
الدوري الفرنسي,مونبلييه,لانس,21:45,1-1
الدوري الفرنسي,أنجيه,أولمبيك ليون,18:00,1-3
الدوري البرتغالي,فيزيلا,بنفيكا,22:30,0-1
الدوري البرتغالي,ماريتيمو,سانت كلارا,20:00,3-1
الدوري البرتغالي,أروكا,كاسا بيا,17:30,2-0
الدوري التركي,فنرباهتشة,كونيا سبور,18:00,4-0
الدوري التركي,جيرسون سبور,قيصري سبور,18:00,1-2
الدوري الهولندي,نيميجين,فوليندام,22:00,3-0
الدوري الهولندي,ألكمار,كامبور,21:00,2-1
الدوري الهولندي,هيرنفين,فالفيك,19:45,1-4
الدوري الهولندي,جرونيجين,إكسيلسيور,17:30,3-0
البطولة المغربية الاحترافية إنوي,شباب المحمدية,الدفاع الحسني الجديدي,21:30,2-1
البطولة المغربية الاحترافية إنوي,حسنية أغادير,اتحاد طنجة,19:15,1-0
البطولة المغربية الاحترافية إنوي,الفتح الرباطي,مولودية وجدة,17:00,2-1
الرابطة المحترفة الجزائرية الأولى موبيليس,شبيبة الساورة‎‎,اتحاد بسكرة,19:00,1-1
الرابطة المحترفة الجزائرية الأولى موبيليس,وفاق سطيف,نجم مقرة,18:00,2-0
الرابطة المحترفة الجزائرية الأولى موبيليس,إتحاد خنشلة,مولودية البيض,16:00,0-1
الرابطة المحترفة الجزائرية الأولى موبيليس,مولودية الجزائر,أمل الأربعاء,16:00,2-0
دوري نجوم قطر,الشمال,الوكرة,18:30,0-0
دوري نجوم قطر,أم صلال,المرخية,15:45,1-2
دوري نجوم قطر,السد,نادي قطر,15:45,2-0
الدوري السويسري,زيورخ,يانج بويز,21:30,2-2
الدوري السويسري,سيون,سانت جالن,19:00,0-4
الدوري البلجيكي,فيسترلو,رويال يونيون سان جيلواز,21:45,4-2
الدوري البلجيكي,أوبين,سيركل بروج,19:15,2-2
الدوري البلجيكي,جينك,أوستيند,19:15,3-0
الدوري البلجيكي,سيراينج,ميشيلين,17:00,0-2
الدوري اليوناني,أولمبياكوس,باناثينايكوس,20:30,0-0
الدوري اليوناني,باس غيانينا,باوك سالونيكي,19:00,0-0
الدوري اليوناني,آيك أثينا,أستيراس تريبوليس,17:30,2-0
تصفيات كأس العالم | كرة سلة,مصر | كرة سلة,الكاميرون | كرة سلة,19:00,63-71
تصفيات كأس العالم | كرة سلة,السنغال | كرة سلة,تونس | كرة سلة,16:30,53-70
تصفيات كأس العالم | كرة سلة,الكونغو الديمقراطية | كرة سلة,جنوب السودان | كرة سلة,14:00,61-82
